SKU,Item Name,Category,Warehouse,Supplier,Quantity,Reorder Point,Stock Value (NGN),Lead Time (Days),Stock Status,Movement Category,Reorder Needed
SKU0001,Item 001,Safety Equipment,PH Warehouse,SafetyFirst Ltd,231,52,9892519.56,9,In Stock,Dead Stock,No
SKU0002,Item 002,Office Supplies,Apapa Port,TechSource Ltd,228,39,1714300.08,20,In Stock,Slow Moving,No
SKU0003,Item 003,Safety Equipment,PH Warehouse,AutoParts Nigeria,80,59,99403.2,19,In Stock,Dead Stock,No
SKU0004,Item 004,Industrial Tools,PH Warehouse,TechSource Ltd,398,49,6627304.96,21,In Stock,Slow Moving,No
SKU0005,Item 005,Safety Equipment,Lagos Main,AutoParts Nigeria,43,49,1415245.24,16,Low Stock,Active,YES
SKU0006,Item 006,Spare Parts,Abuja Hub,PackRight Co,388,34,10044462.52,3,On Order,Slow Moving,No
SKU0007,Item 007,Electronics,Abuja Hub,SafetyFirst Ltd,34,21,1443022.22,3,On Order,Active,No
SKU0008,Item 008,Safety Equipment,Kano Depot,AutoParts Nigeria,203,46,835426.2,23,In Stock,Slow Moving,No
SKU0009,Item 009,Electronics,Abuja Hub,PackRight Co,7,46,266161.07,6,Low Stock,Dead Stock,YES
SKU0010,Item 010,Electronics,Lagos Main,TechSource Ltd,238,71,5854264.5,24,In Stock,Active,No
SKU0011,Item 011,Spare Parts,Apapa Port,SafetyFirst Ltd,329,44,2061892.35,16,In Stock,Dead Stock,No
SKU0012,Item 012,Office Supplies,Abuja Hub,TechSource Ltd,107,31,2141775.13,30,In Stock,Active,No
SKU0013,Item 013,Industrial Tools,Apapa Port,SafetyFirst Ltd,132,20,5114754.48,13,In Stock,Active,No
SKU0014,Item 014,Industrial Tools,PH Warehouse,AutoParts Nigeria,124,20,3752680.2,14,In Stock,Dead Stock,No
SKU0015,Item 015,Safety Equipment,PH Warehouse,IndustrialPlus NG,443,44,4230636.71,7,On Order,Slow Moving,No
SKU0016,Item 016,Spare Parts,Apapa Port,IndustrialPlus NG,378,60,17784915.12,9,On Order,Dead Stock,No
SKU0017,Item 017,Electronics,Kano Depot,TechSource Ltd,53,26,128020.44,11,In Stock,Slow Moving,No
